iter	Passed	Remaining
0	1	152
1	3	147
2	4	141
3	5	131
4	6	132
5	8	128
6	9	126
7	10	122
8	11	121
9	13	119
10	14	117
11	15	115
12	16	113
13	18	110
14	19	108
15	20	106
16	21	103
17	22	101
18	23	99
19	24	97
20	25	96
21	26	94
22	27	92
23	28	91
24	29	89
25	30	88
26	31	86
27	32	84
28	34	83
29	35	82
30	36	80
31	37	79
32	38	77
33	39	76
34	40	75
35	41	73
36	42	72
37	43	71
38	44	69
39	45	68
40	46	66
41	46	64
42	48	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	59	52
53	60	51
54	60	49
55	61	48
56	62	47
57	64	46
58	65	45
59	66	44
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	83	26
76	84	25
77	84	23
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
